news,type
"Air Deccan has signed a deal to acquire 36 planes from Avions de Transport Regional (ATR).

The value of the deal has not been revealed, because of a confidentiality clause in the agreement. But Air Deccan's managing director Gorur Gopinath has said the price agreed was less than the catalogue price of $17.6m (£9.49m) per plane. Recently, India's first low-cost airline ordered 30 Airbus A320 planes for $1.8bn.

Under the agreement, Air Deccan will buy 15 new ATR 72-500 and lease another 15. ATR will also provide six second hand airplanes. In a statement, ATR has said deliveries of the aircraft will begin in 2005 and will continue over a five-year period.

Mr Gopinath said the planes will connect regional Indian cities. ""After an evaluation of both ATR and Bombardier aircraft, we have chosen the ATR aircraft as we find it most suitable for our operations and for the Indian market for short haul routes."" Filippo Bagnato, ATR's chief executive, has said that his firm will also work with Air Deccan to create a training centre in Bangalore.

The potential of the Indian budget market has attracted attention from businesses at home and abroad. Air Deccan has said it will base its business model on European firms such as Ireland's Ryanair. Beer magnate Vijay Mallya recently set up Kingfisher Airlines, while UK entrepreneur Richard Branson has said he is keen to start a local operation. India's government has given its backing to cheaper and more accessible air travel.",business
"Actor Daniel Day-Lewis is to be presented with an award for his career in film at the Berlin Film Festival.

The 47-year-old, whose credits include his Oscar-winning performance in My Left Foot, will be presented with the Berlinale Camera award on 15 February. The honour, awarded since 1986, honours figures in cinema that the festival feels ""particularly indebted to"". Man to Man, a historical epic starring Kristin Scott Thomas, opens the German festival on 10 February. A candid documentary about the life and career of singer George Michael, A Different Story will also be screened at the 10-day event. '

Day-Lewis has competed four times at the Berlin Film Festival, with films In The Name Of The Father (1994), The Crucible (1997), The Boxer (1998) and Martin Scorsese's Gangs Of New York (2003). The festival praises him for his ""sensational start"" with roles in My Beautiful Launderette and costume classic A Room With A View, and a ""great number of celebrated roles"" in subsequent productions. Japan's oldest film studio will also be honoured along with Day-Lewis. Shochiku film studios, which was founded 110 years ago, will become the first cinematic institution to receive the Berlinale Camera award. Famous Japanese directors including Akira Kurosawa have had films produced at the studio.",entertainment
"German business confidence fell in February knocking hopes of a speedy recovery in Europe's largest economy.

Munich-based research institute Ifo said that its confidence index fell to 95.5 in February from 97.5 in January, its first decline in three months. The study found that the outlook in both the manufacturing and retail sectors had worsened. Observers had been hoping that a more confident business sector would signal that economic activity was picking up.

""We're surprised that the Ifo index has taken such a knock,"" said DZ bank economist Bernd Weidensteiner. ""The main reason is probably that the domestic economy is still weak, particularly in the retail trade."" Economy and Labour Minister Wolfgang Clement called the dip in February's Ifo confidence figure ""a very mild decline"". He said that despite the retreat, the index remained at a relatively high level and that he expected ""a modest economic upswing"" to continue.

Germany's economy grew 1.6% last year after shrinking in 2003. However, the economy contracted by 0.2% during the last three months of 2004, mainly due to the reluctance of consumers to spend. Latest indications are that growth is still proving elusive and Ifo president Hans-Werner Sinn said any improvement in German domestic demand was sluggish. Exports had kept things going during the first half of 2004, but demand for exports was then hit as the value of the euro hit record levels making German products less competitive overseas. On top of that, the unemployment rate has been stuck at close to 10% and manufacturing firms, including DaimlerChrysler, Siemens and Volkswagen, have been negotiating with unions over cost cutting measures. Analysts said that the Ifo figures and Germany's continuing problems may delay an interest rate rise by the European Central Bank. Eurozone interest rates are at 2%, but comments from senior officials have recently focused on the threat of inflation, prompting fears that interest rates may rise.",business
"Rapper Eminem has denied Elvis his fourth number one of the year, after his song, Like Toy Soldiers, stormed to the top of the singles charts.

The track claimed the top spot ahead of The King's latest re-release, Are You Lonesome Tonight. It is the fifth in a series of 18 reissues to mark the 70th anniversary of Presley's birth. Almost Here, the duet from former Westlife star Brian McFadden and Delta Goodrem, went in at number three.

Like Toy Soldiers, from Eminem's Encore album, is sampled from Martika's 1980s hit Toy Soldiers. It takes a swipe at hip-hop feuds and follows the success of Just Lose It. Last week's number one, Elvis's It's Now or Never, slipped 13 places to number 14, but all five of his re-released songs are in the Top 40. One World Project Tsunami fundraiser, Grief Never Grows Old, slipped four places to number eight. Featuring Cliff Richard and Boy George, the song was written by former DJ Mike Read. In the album charts, Athlete's latest offering Tourist claimed the top spot, toppling the Chemical Brother's Push The Button Down, which fell to number six.",entertainment
"France have brought flanker Serge Betsen back into their squad to face England at Twickenham on Sunday.

But the player, who missed the victory over Scotland through injury, must attend a disciplinary hearing on Wednesday after being cited by Wasps. ""Serge has a good case so we are confident he will play,"" said France coach Bernard Laporte. The inexperienced Nicolas Mas, Jimmy Marlu and Jean-Philippe Grandclaude are also included in a 22-man squad. The trio have been called up after Pieter de Villiers, Ludovic Valbon and Aurelien Rougerie all picked up injuries in France's 16-9 win on Saturday.

Laporte said he was confident that Betsen would be cleared by the panel investigating his alleged trip that broke Wasps centre Stuart Abbott's leg. ""If he was to be suspended, we would call up Imanol Harinordoquy or Thomas Lievremont,"" said Laporte, who has dropped Patrick Tabacco. ""We missed Serge badly against Scotland. He has now recovered from his thigh injury and played on Saturday with Biarritz."" France's regular back-row combination of Betsen, Harinordoquy and Olivier Magne were all missing from France's side at the weekend because of injury. Laporte is expected to announce France's starting line-up on Wednesday.

Forwards: Nicolas Mas, Sylvain Marconnet, Olivier Milloud, William Servat, Sebastien Bruno, Fabien Pelous, Jerome Thion, Gregory Lamboley, Serge Betsen, Julien Bonnaire, Sebastien Chabal, Yannick Nyanga. Backs: Dimitri Yachvili, Pierre Mignoni, Frederic Michalak, Yann Delaigue, Damien Traille, Brian Liebenberg, Jean-Philippe Grandclaude, Christophe Dominici, Jimmy Marlu, Pepito Elhorga.",sport
"Video games on consoles and computers proved more popular than ever in 2004.

Gamers spent more than £1.34bn in 2004, almost 7% more than they did in 2003 according to figures released by the UK gaming industry's trade body. Sales records were smashed by the top title of the year GTA: San Andreas - in which players got the job of turning central character CJ into a crime boss. The game sold more than 1 million copies in the first nine days that it was on sale. This feat made it the fastest selling video game of all time in the UK. Although only released in November the sprawling story of guns, gangsters game beat off strong competition and by year end had sold more than 1.75 million copies. There were also records set for the number of games that achieved double-platinum status by selling more than 600,000 copies. Five titles, including Sony EyeToy Play and EA's Need for Speed: Underground 2, managed this feat according to figures compiled by Chart-Track for the Entertainment and Leisure Software Publishers Association (Elspa). Electronic Arts, the world's biggest games publisher, had 9 games in the top 20.

2004 was a ""stellar year"" said Roger Bennett, director general of Elspa. ""In a year with no new generation consoles being released, the market continued to be buoyant as the industry matured and the increasingly diverse range of games reached new audiences and broadened its player base - across ages and gender,"" he said. Part of the success of games in 2004 could be due to the fact that so many of them are sequels. 16 out of the top 20 titles were all follow-ups to established franchises or direct sequels to previously popular games. Halo, The Sims, Driver, Need for Speed, Fifa football, Burnout were just a few that proved as popular as the original titles. Despite this fondness for older games, Doom 3 did not make it to the top 20. Movie tie-ins also proved their worth in 2004. Games linked to Shrek, The Incredibles, Spider-Man, Harry Potter and Lord of the Rings were all in the top 20. Elspa noted that sales of Xbox games rose 37.9% during the year. However, Sony's PlayStation 2 was the top seller with 47% of the £1.34bn spent on games in 2004 used to buy titles for that console. Despite winning awards and rave reviews Half-Life 2 did not appear in the list. This was because it was only released on PC and, compared to console titles, sold in relatively small numbers. Also the novel distribution system adopted by developer Valve meant that many players downloaded the title rather than travel to the shops to buy a copy. Valve has yet to release figures which show how many copies of the game were sold in this way.",tech
"Fiat and General Motors (GM) have until midnight on 1 February to settle a disagreement over a potential takeover.

The deadline marks the point at which Fiat will gain the right to sell its car division to GM, part of an alliance agreed in 2000. GM, whose own European operations are losing money, no longer wants to own the unprofitable Fiat unit. Reports of deadlocked talks sent Fiat shares down 1.2% on Tuesday, after Monday's 4% gain on hopes of a payoff. The US firm is thought to be offering about $2bn (£1.06bn) to extricate itself from the arrangement. It has argued the deal was voided by Fiat's decision to sell off Fiat's finance arm and halve GM's stake via a capital-raising effort.

The 2000 deal resulted from a race between GM and DaimlerChrysler to ally with Fiat. The German firm wanted to buy Fiat outright. But Gianni Agnelli, the godfather of the group, wanted to keep control, and preferred GM's offer to buy a 20% stake and give Fiat the right to sell in the future, known as a ""put option"". Since then, however, Fiat cars have lost market share and the firm has piled up losses, while a plan to raise new money in 2003 cut GM's stake in half to 10%. For its part, GM's European units Opel and Saab have both had trouble, with Opel management threatening to cut 12,000 jobs. ""The last thing they need is additional production capacity in Europe,"" said Patrick Juchemich, auto analyst at Sal Oppenheim Bank.",business
"This year's clutch of Oscar nominees have been the least popular for 20 years according to box office figures.

In the US the five nominated for best film have been seen by 50% fewer people than movies in previous years. While the awards are not based on box office popularity there is concern for the ratings of the televised ceremony. ""We don't have a Titanic or a Lord of the Rings out there. I think it's fair to say it does concern us a bit,"" said Academy executive director Bruce Davis. About 51 million people in the US have seen this year's nominees, compared with between 100 million and 118 million in recent years. The last time combined attendance was so low was in 1984 when Amadeus beat The Killing Fields, A Passage to India, Places in the Heart and A Soldier's Story to best picture, when 41 million saw the five films. Last year's ceremony attracted the highest audience in four years as viewers tuned in to see Lord of the Ring: Return of the King sweep the board.

And the show reaped its biggest audience in 1997 when Titanic took home 11 Oscars.

The film had taken $500m (£264m) worldwide before the ceremony, and eventually took $1.8bn (£952m). ""Eyeballs starring at the movie screen translates to eyeballs staring at the TV screen,"" said Paul Dergarabedian of box office tracker Exhibitor Relations. ""People like to have a vested interest in what they're watching. ""When Titanic does $1.8bn in worldwide box office, you've got a lot of people with a vested interest."" Past years have also seen blockbusters such as Saving Private Ryan, Forrest Gump and Ghost compete for Oscars. The biggest box office hitter among this year's nominees is The Aviator, which has taken $90m (£48m) in the US, although takings in the UK have reached only £7m so far.

Low-budget move Sideways and Finding Neverland have so far grossed about $45m (£24m) each. The year's biggest blockbusters do actually feature in the Oscar nominees but in the animation category. Shrek 2 and The Incredibles took $436m (£231m) while The Incredibles took $259m (£137m). Mel Gibson's The Passion of the Christ, which took $370m (£196m) in the US, was largely ignored by Academy voters.

But many in the film industry do not equate award and box office success. ""I have never equated the Academy Awards with how much money a movie takes in,"" said Nikki Rocco, head of distribution at Universal which released nominee Ray. ""That's the People's Choice Awards. This is not about the public. This is about the industry bestowing awards on what they think are the best films of the year.""",entertainment
"Oil prices retreated from four-month highs in early trading on Tuesday after producers' cartel Opec said it was now unlikely to cut production.

Following the comments by acting Opec secretary general Adnan Shihab-Eldin, US light crude fell 32 cents to $51.43 a barrel. He said that high oil prices meant Opec was unlikely to stick to its plan to cut output in the second quarter. In London, Brent crude fell 32 cents to $49.74 a barrel.

Opec members are next meeting to discuss production levels on 16 March. On Monday, oil prices rose for a sixth straight session, reaching a four-month high as cold weather in the US threatened stocks of heating oil. US demand for heating oil was predicted to be about 14% above normal this week, while stocks were currently about 7.5% below the levels of a year ago. Cold weather across Europe has also put upward pressure on crude prices.",business
"A shareholder in US phone firm MCI has taken legal action to halt a $6.75bn (£3.6bn) buyout by telecoms giant Verizon, hoping to get a better deal.

The lawsuit was filed on Friday after Qwest Communications, which had an earlier offer for MCI rejected, said it would submit an improved bid. MCI's directors have backed Verizon, despite it tabling less money. They are accused of breaching their fiduciary duties by depriving MCI shareholders ""of maximum value"".

According the legal papers filed in a Delaware court, Verizon is set to pay an """"unconscionable, unfair and grossly inadequate"" sum for MCI, which was formerly known as Worldcom. Qwest said on Wednesday that MCI had rejected a deal worth $8bn. A number of large MCI shareholders expressed unhappiness at the decision, saying that Verizon's offer, made up of cash, shares and dividends, undervalued the company. Friday's lawsuit argues that the Verizon offer makes no provision for future growth prospects and that consolidation in the US phone industry will put a premium on MCI's network, assets and clients. MCI's directors have argued that Verizon is bigger than Qwest, has fewer debts and has built a successful mobile division. Chief executive Michael Capellas spent last week meeting with shareholders in an effort to win their backing.

In 2002, investors in the then-named Worldcom lost millions when the company filed for bankruptcy following an accounting scandal. However, the firm - now renamed MCI - has put its operations in order and emerged from bankruptcy protection last April. It is a long-distance and corporate phone firm, and would provide the buyer with access to a global telecommunications network and a large number of business-based subscribers. MCI shares jumped on Friday, hitting their highest level since April 2004 amid speculation that it would be the focus of a bidding war. A takeover of MCI would be the fifth billion-dollar telecoms deal since October as companies look to cut costs and boost client bases. Earlier this month, SBC Communications agreed to buy its former parent and phone pioneer AT&T for about $16bn.",business
"A Christmas tree that can receive text messages has been unveiled at London's Tate Britain art gallery.

The spruce has an antenna which can receive Bluetooth texts sent by visitors to the Tate. The messages will be ""unwrapped"" by sculptor Richard Wentworth, who is responsible for decorating the tree with broken plates and light bulbs. It is the 17th year that the gallery has invited an artist to dress their Christmas tree. Artists who have decorated the Tate tree in previous years include Tracey Emin in 2002.

The plain green Norway spruce is displayed in the gallery's foyer. Its light bulb adornments are dimmed, ordinary domestic ones joined together with string. The plates decorating the branches will be auctioned off for the children's charity ArtWorks. Wentworth worked as an assistant to sculptor Henry Moore in the late 1960s. His reputation as a sculptor grew in the 1980s, while he has been one of the most influential teachers during the last two decades. Wentworth is also known for his photography of mundane, everyday subjects such as a cigarette packet jammed under the wonky leg of a table.",entertainment
